run_dir,timestamp,dataset,variant,motif_rand,motif_dim,seed,test_acc,test_macro_f1,best_val_epoch,total_epochs
20260607_012627_pubmed_gcn,2026-06-07T01:26:28,pubmed,gcn,False,0,1,0.7470000386238098,0.747928223584292,73,124
20260607_012622_pubmed_gcn,2026-06-07T01:26:23,pubmed,gcn,False,0,42,0.7450000643730164,0.7430981748808803,106,157
20260607_012632_pubmed_sage,2026-06-07T01:26:33,pubmed,sage,False,0,0,0.7460000514984131,0.7443078227146463,30,81
20260607_012635_pubmed_sage,2026-06-07T01:26:36,pubmed,sage,False,0,1,0.7400000095367432,0.738013095209361,88,139
20260607_012630_pubmed_sage,2026-06-07T01:26:30,pubmed,sage,False,0,42,0.7300000190734863,0.7285803523666546,8,59
20260607_020002_pubmed_concat,2026-06-07T02:00:03,pubmed,concat,False,3,0,0.7610000371932983,0.7662184273522041,16,67
20260607_020004_pubmed_concat,2026-06-07T02:00:05,pubmed,concat,False,3,1,0.7610000371932983,0.7625263820465428,29,80
20260607_015959_pubmed_concat,2026-06-07T02:00:00,pubmed,concat,False,3,42,0.7590000629425049,0.7607454469835059,66,117
20260607_020010_pubmed_gate,2026-06-07T02:00:11,pubmed,gate,False,3,0,0.7410000562667847,0.740527251597833,45,96
20260607_020013_pubmed_gate,2026-06-07T02:00:14,pubmed,gate,False,3,1,0.7450000643730164,0.747848142658104,40,91
20260607_020007_pubmed_gate,2026-06-07T02:00:08,pubmed,gate,False,3,42,0.7510000467300415,0.7516993418991978,55,106
20260607_020018_pubmed_mix,2026-06-07T02:00:19,pubmed,mix,False,3,0,0.753000020980835,0.7518908424347063,30,81
20260607_020021_pubmed_mix,2026-06-07T02:00:22,pubmed,mix,False,3,1,0.7450000643730164,0.7451917354740418,51,102
20260607_020015_pubmed_mix,2026-06-07T02:00:16,pubmed,mix,False,3,42,0.7350000143051147,0.7333214319501585,80,131
20260607_021959_pubmed_rand_concat,2026-06-07T02:20:00,pubmed,rand_concat,True,3,0,0.7310000061988831,0.7329355691990397,51,102
20260607_022002_pubmed_rand_concat,2026-06-07T02:20:03,pubmed,rand_concat,True,3,1,0.7200000286102295,0.7237694120905441,62,113
20260607_021957_pubmed_rand_concat,2026-06-07T02:19:57,pubmed,rand_concat,True,3,42,0.7310000061988831,0.7255469216846432,34,85
20260607_014559_proteins_gcn,2026-06-07T01:46:04,proteins,gcn,False,0,0,0.6801801919937134,0.6558740693841015,7,58
20260607_014606_proteins_gcn,2026-06-07T01:46:12,proteins,gcn,False,0,1,0.684684693813324,0.6348684210526315,32,83
20260607_014551_proteins_gcn,2026-06-07T01:45:57,proteins,gcn,False,0,42,0.7207207083702087,0.6765977443609024,25,76
20260607_020039_proteins_concat,2026-06-07T02:00:45,proteins,concat,False,3,0,0.707207202911377,0.6849551339431915,14,65
20260607_020047_proteins_concat,2026-06-07T02:00:52,proteins,concat,False,3,1,0.7522522807121277,0.7320194017075259,18,69
20260607_020031_proteins_concat,2026-06-07T02:00:37,proteins,concat,False,3,42,0.7252252101898193,0.6853843830588017,27,78
20260607_020107_proteins_gate,2026-06-07T02:01:16,proteins,gate,False,3,0,0.7252252101898193,0.6976894742716822,37,88
20260607_020117_proteins_gate,2026-06-07T02:01:29,proteins,gate,False,3,1,0.6936936974525452,0.6598774333093006,59,110
20260607_020054_proteins_gate,2026-06-07T02:01:05,proteins,gate,False,3,42,0.7207207083702087,0.6898882480173036,58,109
20260607_020139_proteins_mix,2026-06-07T02:01:47,proteins,mix,False,3,0,0.7117117047309875,0.6837606837606838,29,80
20260607_020148_proteins_mix,2026-06-07T02:01:57,proteins,mix,False,3,1,0.6936936974525452,0.6479805988247365,46,97
20260607_020130_proteins_mix,2026-06-07T02:01:38,proteins,mix,False,3,42,0.7117117047309875,0.6686876224232814,29,80
20260607_022012_proteins_rand_concat,2026-06-07T02:20:19,proteins,rand_concat,True,3,0,0.6486486196517944,0.6209613869188338,29,80
20260607_022020_proteins_rand_concat,2026-06-07T02:20:28,proteins,rand_concat,True,3,1,0.6576576828956604,0.6094444444444443,41,92
20260607_022004_proteins_rand_concat,2026-06-07T02:20:10,proteins,rand_concat,True,3,42,0.6531531810760498,0.5902193455591513,22,73
